folder,filename,duration_s,drive_url,abs_path,file_id
"~~~lucas camera syria","P5020612.MOV",9,"https://drive.google.com/file/d/18fUKEt9CB9uYE7qx-88wPFVOd-8ilB14/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020612.MOV","51f35817-8b58-4f3a-b17d-95ba8242ad1e"
"~~~lucas camera syria","P5020623.MOV",10,"https://drive.google.com/file/d/18T69diyfwP8yP7hOCoVcjCsedm3qEXH-/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020623.MOV","e4bb16dd-03f4-46ab-a4e6-48e80b30ea9c"
"~~~lucas camera syria","P5020626.MOV",10,"https://drive.google.com/file/d/1gJKW335Z6dsNNh4FWW3xsSJIP487kKXW/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020626.MOV","a29e3a93-b6d2-4416-b4d7-8cc48848fdd4"
"~~~lucas camera syria","P5020627.MOV",7,"https://drive.google.com/file/d/1dJ5IGlICwn87PmHiJZz7FE3tH_c-sUkH/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020627.MOV","0cd3daca-b317-4146-b18b-1b834d82e9c5"
"~~~lucas camera syria","P5020631.MOV",1,"https://drive.google.com/file/d/1Qq6nWYlDcwMK9-hmx1rH30S0dwD9qBmd/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020631.MOV","4b9da8c7-315b-42f0-9a3c-4c9714f20c0b"
"~~~lucas camera syria","P5020636.MOV",7,"https://drive.google.com/file/d/1XhmONccpN7rmHHJF0VYg2rCptyhNxRgS/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020636.MOV","e86684f6-0913-4d56-b745-058f45a1cad2"
"~~~lucas camera syria","P5020641.MOV",8,"https://drive.google.com/file/d/1DP66uX0qf-qDahL0F7YepdnoaxOkIP-o/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020641.MOV","235e8856-df21-40b0-b112-73463410bdec"
"~~~lucas camera syria","P5020647.MOV",7,"https://drive.google.com/file/d/1kj66x3TXXTTPjWMjVma3D2YsQIVd0K0o/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020647.MOV","bdf6ebac-3248-44b4-b436-e041610a11fd"
"~~~lucas camera syria","P5020648.MOV",19,"https://drive.google.com/file/d/1wXXCTZ9QARtR5sBCrPRL6GHcoGcGn_dt/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020648.MOV","47e87b26-1947-4ff6-836d-02154cc3f4d2"
"~~~lucas camera syria","P5020649.MOV",19,"https://drive.google.com/file/d/1E62SSG2xmUi2Zfzb8uVkj7kTDRHO7Q1U/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020649.MOV","9a49dce7-cb63-4da1-9b61-f658eee5e3e7"
"~~~lucas camera syria","P5020655.MOV",7,"https://drive.google.com/file/d/18ijIbAqWuh1mXwE6xjr4itTsiinzOe8i/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020655.MOV","e6eddef9-8c40-496c-8e18-4d71894667ad"
"~~~lucas camera syria","P5020659.MOV",18,"https://drive.google.com/file/d/1zBM_XRofTPJAI01CzcMCT0b0VVtu_fVS/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020659.MOV","c65d93e8-e88e-43f2-a093-53e0384eced8"
"~~~lucas camera syria","P5020664.MOV",6,"https://drive.google.com/file/d/10sOVfeyRphFUW9W2ua54VDKOiZrWQ_0Z/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020664.MOV","6bf88486-140a-4f6c-b297-39eadf4bd1f0"
"~~~lucas camera syria","P5020665.MOV",5,"https://drive.google.com/file/d/1OqWTVCtV0lWSFZu2ysuQDIR4Q8geWheq/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020665.MOV","ee0d8a4a-49d4-4cb1-a90c-5d074d1f998e"
"~~~lucas camera syria","P5020666.MOV",10,"https://drive.google.com/file/d/1u4BzG_C3c7Ow81xz07WPW_RMk7gQom5c/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020666.MOV","fee16ac9-09ca-4ce3-8fa8-72d7961de9ec"
"~~~lucas camera syria","P5020669.MOV",8,"https://drive.google.com/file/d/1unSMr720PCmfXfDLD0a9seeBbtGhBNHn/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020669.MOV","eb670e7d-61bf-44d3-8c1b-21d9a7282956"
"~~~lucas camera syria","P5020670.MOV",10,"https://drive.google.com/file/d/10gjLWYPq4G0itIZyDR6W7mwHPtQ_QCS1/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020670.MOV","b966a7d4-c285-4061-93d3-fe04bf8a6a88"
"~~~lucas camera syria","P5020671.MOV",12,"https://drive.google.com/file/d/1g3xd-y0pShzXHcXIZ4i987ZaU9HnJpez/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020671.MOV","feb8e9d5-1691-4e49-b819-cb12bee26b87"
"~~~lucas camera syria","P5020677.MOV",7,"https://drive.google.com/file/d/1TYweMTEluh1wvm1I5T0w4Fg14Y_DNX9S/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020677.MOV","e63dfbf7-8e7e-4cea-a51f-b2733d76960f"
"~~~lucas camera syria","P5020678.MOV",4,"https://drive.google.com/file/d/1QgE_7ZIyrhrTpTDdn1iRcTA5saxgcWmc/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020678.MOV","13b9326a-e8f8-4ea3-b1a9-2cb5fd1c75ce"
"~~~lucas camera syria","P5020679.MOV",14,"https://drive.google.com/file/d/1VYOvQwcYzURLWTlcBgFOKHoS-NjL8EHg/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020679.MOV","41a65702-c744-4b93-b3cf-479602a27343"
"~~~lucas camera syria","P5020680.MOV",12,"https://drive.google.com/file/d/1ylyVxmJ6EdTCiMy4oLT3NZ3IWtcz-2k8/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020680.MOV","648400ca-36c0-4e76-a3f1-162beabf385f"
"~~~lucas camera syria","P5020682.MOV",7,"https://drive.google.com/file/d/1kgkh2XwRim3nPFHgTtn54UChheK6T25-/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020682.MOV","ee38b76d-c10a-4346-8386-9b98c84c1a6a"
"~~~lucas camera syria","P5020683.MOV",12,"https://drive.google.com/file/d/1xgrOsFuYXVIdeWaWCvyMCAvu2bAcbQnT/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020683.MOV","af175d9f-085b-4736-b195-55969a3fae8e"
"~~~lucas camera syria","P5020697.MOV",17,"https://drive.google.com/file/d/1nK5_nGAEzxJzPMF_yFL8oefB0Dd1royZ/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020697.MOV","e4496ccd-b54f-44c7-96e2-f6927b3c9898"
"~~~lucas camera syria","P5020701.MOV",17,"https://drive.google.com/file/d/1NI9L9OFbp8cz1qsQdSO1jufYwHSZWdiX/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020701.MOV","0611c4a2-a60e-439d-87ba-826a64b7e3d7"
"~~~lucas camera syria","P5020702.MOV",6,"https://drive.google.com/file/d/1W2aJc2tptUOoSk9R10g5vVUov_nm-3ZC/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020702.MOV","734fe7fe-b02b-4c05-88bf-68bd61d83e2e"
"~~~lucas camera syria","P5020710.MOV",3,"https://drive.google.com/file/d/1ZOWWfKNmMpU42_OPQdd_TswmnUAPygLD/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020710.MOV","40f683ff-abc7-4a1c-9b65-46ad55cbefa8"
"~~~lucas camera syria","P5020715.MOV",1,"https://drive.google.com/file/d/1-3jsxRezYaHa1yRSWlYQsflwNfx3lDQk/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020715.MOV","9f72366d-75d6-4679-935d-636f9fad3c3d"
"~~~lucas camera syria","P5020734.MOV",11,"https://drive.google.com/file/d/17rec-yqCdJW1ImD5t61HcnAG1uBSK9VG/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020734.MOV","bbd55eb4-dc25-4df6-bdf0-1fc8dffe816d"
"~~~lucas camera syria","P5020736.MOV",9,"https://drive.google.com/file/d/1DrFgYH4yxtNl2GrwobwA51f2BkGs7UV7/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020736.MOV","2b580f6a-0f6d-4e50-903b-30f55296f05d"
"~~~lucas camera syria","P5020739.MOV",6,"https://drive.google.com/file/d/1SlHoOn3c0wZPk-U_rSjMVkKp851jzaS0/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020739.MOV","97964d38-e186-4d67-8573-1c54bd3f8357"
"~~~lucas camera syria","P5020746.MOV",12,"https://drive.google.com/file/d/1m4RtvqRers7RsJ_QN0ejT1H8dpVDANsu/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020746.MOV","4757ec59-d7a2-4dd7-bde5-1313f5fac2c7"
"~~~lucas camera syria","P5020749.MOV",9,"https://drive.google.com/file/d/18DOo1DkDE0G8HEmDk3oQ5rxzzCH_x8rt/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020749.MOV","8949a7ed-5dce-49de-a9fd-45d70e1dfd97"
"~~~lucas camera syria","P5020762.MOV",67,"https://drive.google.com/file/d/1q9OQs7o8JEqHTGhCqbZUd3Hjh92P2hm-/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020762.MOV","ebb9ebf9-d7d7-4457-ab49-e33e7034744e"
"~~~lucas camera syria","P5020763.MOV",3,"https://drive.google.com/file/d/1LS0YVROcJfyaqZneOsMUz-Z7KwqcbEVm/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020763.MOV","bf9b7d08-4b86-4d75-b339-62fc93188954"
"~~~lucas camera syria","P5020764.MOV",3,"https://drive.google.com/file/d/15PwZ3uccaMOC-rc0iYE0voo0ezxSGXpn/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020764.MOV","700cb358-888a-41f4-a5d2-5604e75e2ffd"
"~~~lucas camera syria","P5020767.MOV",21,"https://drive.google.com/file/d/1rS_8Fc9EKJOsvEShP4Al9HV82Q8cKIvc/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020767.MOV","299da78a-cc49-4956-8472-f249ee64502d"
"~~~lucas camera syria","P5020769.MOV",14,"https://drive.google.com/file/d/1L8504iW-wWyLmw0_bFBuBH2FYHfEcw_p/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020769.MOV","d46b3b23-4ef3-40d1-8fdd-0d6454257b82"
"~~~lucas camera syria","P5020773.MOV",8,"https://drive.google.com/file/d/1bTLq3Bdc4zAAJRUxEUJGTlHfUxFcM7Zr/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020773.MOV","6c36fb1a-b8cc-4f20-817b-6a97b89c6b84"
"~~~lucas camera syria","P5020774.MOV",20,"https://drive.google.com/file/d/1iTDwOVP5rJK-fEb3xZlWF1WaO2BDUo-x/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020774.MOV","b3c3eed3-39e2-4a84-bfe8-0752aa2147ef"
"~~~lucas camera syria","P5020780.MOV",17,"https://drive.google.com/file/d/1QNbXYYYyyY6lfVBAl8lW4J5Zdcma8Nru/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020780.MOV","4780eb45-16d1-44f3-a040-836344604c96"
"~~~lucas camera syria","P5020795.MOV",11,"https://drive.google.com/file/d/1wUL6EjRDTvbaI8QbsunGFhT4VrtFKEoc/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020795.MOV","711ea7a4-74d0-4713-a92b-c323819b16e6"
"~~~lucas camera syria","P5020796.MOV",15,"https://drive.google.com/file/d/14lRobNyGUXH00XLhMma0ashFbDIKkjTO/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020796.MOV","03e2a2db-45c1-4f0c-87a7-d09cb1a7996f"
"~~~lucas camera syria","P5020797.MOV",9,"https://drive.google.com/file/d/1Kfeok9EmQVnOyaRj2gMKhgBPy8uvGGtC/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020797.MOV","7525d10c-2577-4e26-aefc-6c7c1ff5cd2d"
"~~~lucas camera syria","P5020798.MOV",11,"https://drive.google.com/file/d/1E96towv-rGBTI8KVXILv2ghz86PRRo6O/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020798.MOV","581e12e7-a49b-4cef-9571-d05bde310571"
"~~~lucas camera syria","P5020799.MOV",16,"https://drive.google.com/file/d/1dn-Gqw1wZcy5sZJ8segWOpEvAj6D-Ear/view?usp=drivesdk","E:\3. Syria\~~~lucas camera syria\P5020799.MOV","eb52f292-b8ed-40c1-92d0-f08358e68440"
